crawl_time,docket_type,docket_page_link,Protestor,Solicitation Number,Agency,File number,Status,Filed Date,Due Date,Case Type,GAO Attorney,Outcome,Decision Date,Decision link,Decision Highlight
2021-10-07 10:47:33,open,https://www.gao.gov/docket/b-419797.2,"Hangar 4 Services, LLC",36C78621Q0085,Department of Veterans Affairs,B-419797.2,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Michael Willems,,,,
2021-10-07 10:47:34,open,https://www.gao.gov/docket/b-419480.5,"WRGA Fire Training Simulation Solutions, Inc.",N61340-20-R-0116,Department of the Navy : Naval Air Systems Command,B-419480.5,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Heather Self,,,,
2021-10-07 10:47:35,open,https://www.gao.gov/docket/b-420214.1,"Gig Line Media, LLC",36C25221P1331,Department of Veterans Affairs,B-420214.1,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Paul N. Wengert,,,,
2021-10-07 10:47:37,open,https://www.gao.gov/docket/b-420215.1,"AttainX, Inc.",,Department of Agriculture,B-420215.1,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Katherine I. Riback,,,,
2021-10-07 10:47:38,open,https://www.gao.gov/docket/b-418450.2,"Ortho-Clinical Diagnostics, Inc.",N6264519RCES080,Department of the Navy : Naval Supply Systems Command,B-418450.2,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,David A. Edelstein,,,,
2021-10-07 10:47:40,open,https://www.gao.gov/docket/b-420218.1,"Colston Construction, Inc.",36C25021B0054,Department of Veterans Affairs,B-420218.1,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Jacob Talcott,,,,
2021-10-07 10:47:41,open,https://www.gao.gov/docket/b-419327.2,"APC DB JV, LLC",W9126G20R0051,Department of the Army : Corps of Engineers,B-419327.2,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Michael P. Grogan,,,,
2021-10-07 10:47:42,open,https://www.gao.gov/docket/b-419796.2,"Hangar 4 Services, LLC",36C78621Q0092,Department of Veterans Affairs,B-419796.2,Case Currently Open,"Oct 1, 2021","Jan 10, 2022",Bid Protest,Michael Willems,,,,
2021-10-07 10:47:46,open,https://www.gao.gov/docket/b-420208.1,Mettle Ops,M68909-21-R- 7903,Department of Defense : United States Marine Corps,B-420208.1,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,John Sorrenti,,,,
2021-10-07 10:47:48,open,https://www.gao.gov/docket/b-420073.2,"Vertex Aerospace, LLC",FA3002-21-R-0001,Department of the Air Force,B-420073.2,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Katherine I. Riback,,,,
2021-10-07 10:47:49,open,https://www.gao.gov/docket/b-420213.1,Milliman Inc.,16PBGC-21-R-0012,Independent Agencies and Govt Corporations : Pension Benefit Guaranty Corporation,B-420213.1,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Heather Self,,,,
2021-10-07 10:47:51,open,https://www.gao.gov/docket/b-420199.2,"FreeAlliance.com, Inc.",W9124J-21-R-HELP,Department of the Army,B-420199.2,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Paula A. Williams,,,,
2021-10-07 10:47:53,open,https://www.gao.gov/docket/b-420209.1,"Lakota Solutions, LLC",,Department of the Air Force,B-420209.1,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Kenneth Kilgour,,,,
2021-10-07 10:47:54,open,https://www.gao.gov/docket/b-420212.1,"PAE National Security Solutions, LLC",HDTRA1-20-R-0006,Department of Defense : Defense Threat Reduction Agency,B-420212.1,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Christina Sklarew,,,,
2021-10-07 10:47:55,open,https://www.gao.gov/docket/b-420211.1,"Pitney Bowes, Inc.",11578584,Department of the Army,B-420211.1,Case Currently Open,"Sep 30, 2021","Jan 10, 2022",Bid Protest,Scott H. Riback,,,,
2021-10-07 10:47:56,open,https://www.gao.gov/docket/b-420203.1,"ICU Medical Sales, Inc.",36C25721Q1121,Department of Veterans Affairs,B-420203.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,Paul N. Wengert,,,,
2021-10-07 10:47:58,open,https://www.gao.gov/docket/b-420205.1,"Cherokee CRC, LLC",140A1621R0062,Department of the Interior : Bureau of Indian Affairs,B-420205.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,Samantha Lee,,,,
2021-10-07 10:47:59,open,https://www.gao.gov/docket/b-419956.24,"CWS FMTI JV, LLC",75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.24,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,Jonathan L. Kang,,,,
2021-10-07 10:48:00,open,https://www.gao.gov/docket/b-420207.1,"Video Dynamics, Inc.",HHM402-20-R-0029,Department of Defense : Defense Intelligence Agency,B-420207.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,April Y. Shields,,,,
2021-10-07 10:48:02,open,https://www.gao.gov/docket/b-420202.1,"Emagine IT, Inc.",140D0421R0034,Department of the Interior,B-420202.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,David A. Edelstein,,,,
2021-10-07 10:48:03,open,https://www.gao.gov/docket/b-420204.1,"Stampede Ventures, Inc.",140R3021R0001,Department of the Interior : Bureau of Reclamation,B-420204.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,Christine Milne,,,,
2021-10-07 10:48:05,open,https://www.gao.gov/docket/b-420206.1,VidmanBarber LLC,,Department of Education,B-420206.1,Case Currently Open,"Sep 29, 2021","Jan 7, 2022",Bid Protest,Emily R. O'Hara,,,,
2021-10-07 10:48:07,open,https://www.gao.gov/docket/b-419672.2,"Enigma International, LLC",W911W4-19-R-GTMO-III,Department of the Army,B-419672.2,Case Currently Open,"Sep 28, 2021","Jan 6, 2022",Bid Protest,Katherine I. Riback,,,,
2021-10-07 10:48:08,open,https://www.gao.gov/docket/b-420049.6,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.6,Case Currently Open,"Sep 28, 2021","Jan 6, 2022",Bid Protest: Reconsideration,Edward Goldstein,,,,
2021-10-07 10:48:10,open,https://www.gao.gov/docket/b-417760.5,BHB Limited Partnership & Indiana Associates Ltd. Partnership,6DC0335,Independent Agencies and Govt Corporations : General Services Administration,B-417760.5,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest: Entitlement,,,,,
2021-10-07 10:48:11,open,https://www.gao.gov/docket/b-420195.1,"Manta Group, LLC",70RCSA21Q00000053,Department of Homeland Security,B-420195.1,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Mary G. Curcio,,,,
2021-10-07 10:48:13,open,https://www.gao.gov/docket/b-420196.2,"MicroTechnologies, LLC",36C10D21R0001,Department of Veterans Affairs,B-420196.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Kasia Dourney,,,,
2021-10-07 10:48:14,open,https://www.gao.gov/docket/b-420201.1,"Allosense, Inc.",F1M2X51194A001,Department of the Air Force,B-420201.1,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Christopher Alwood,,,,
2021-10-07 10:48:19,open,https://www.gao.gov/docket/b-420162.2,New World International Holdings Corporation,SPE2DE-21-R-0010,Department of Defense : Defense Logistics Agency,B-420162.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Christine Milne,,,,
2021-10-07 10:48:20,open,https://www.gao.gov/docket/b-420130.2,"Sea Box, Inc.",SPE8ED-21-Q-1167,Department of Defense : Defense Logistics Agency,B-420130.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Emily R. O'Hara,,,,
2021-10-07 10:48:21,open,https://www.gao.gov/docket/b-420196.1,Sprezzatura Management Consulting,36C10D21R0001,Department of Veterans Affairs,B-420196.1,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Kasia Dourney,,,,
2021-10-07 10:48:23,open,https://www.gao.gov/docket/b-420197.1,Zafer Taahut Insaat ve Ticaret AS,72066821R00014,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420197.1,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Hannah G. Barnes,,,,
2021-10-07 10:48:24,open,https://www.gao.gov/docket/b-420078.2,"XL Associates, Inc.",88310321Q00075,Independent Agencies and Govt Corporations : National Archives and Records Administration,B-420078.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Heather Weiner,,,,
2021-10-07 10:48:26,open,https://www.gao.gov/docket/b-420177.2,AT&T Corporation,15F06720R0000174-TO1,Department of Justice : Federal Bureau of Investigation,B-420177.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Jonathan L. Kang,,,,
2021-10-07 10:48:28,open,https://www.gao.gov/docket/b-420178.2,AT&T Corporation,15F06720R0000174-TO2,Department of Justice : Federal Bureau of Investigation,B-420178.2,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Jonathan L. Kang,,,,
2021-10-07 10:48:29,open,https://www.gao.gov/docket/b-420199.1,"OSI Vision, LLC",W9124J-21-R-HELP,Department of the Army,B-420199.1,Case Currently Open,"Sep 27, 2021","Jan 5, 2022",Bid Protest,Paula A. Williams,,,,
2021-10-07 10:48:31,open,https://www.gao.gov/docket/b-420190.1,"Blueprint Consulting Services, LLC-  dba Excelicon",70FA3021Q00000042,Department of Homeland Security : Federal Emergency Management Agency,B-420190.1,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,U R. Yoo,,,,
2021-10-07 10:48:32,open,https://www.gao.gov/docket/b-420191.1,"Three Wire Systems, LLC",W81XWH-21-R-0033,Department of the Army,B-420191.1,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,Louis A. Chiarella,,,,
2021-10-07 10:48:34,open,https://www.gao.gov/docket/b-420190.2,"Trillion ERP VentureTech, LLC",70FA3021Q00000042,Department of Homeland Security : Federal Emergency Management Agency,B-420190.2,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,U R. Yoo,,,,
2021-10-07 10:48:35,open,https://www.gao.gov/docket/b-420192.1,"Rho Federal Systems Division, Inc.",75N93020R00011,Department of Health and Human Services : National Institutes of Health,B-420192.1,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,Paul N. Wengert,,,,
2021-10-07 10:48:37,open,https://www.gao.gov/docket/b-420168.3,"General Dynamics Information Technology, Inc.",HC102819R0009,Department of Defense : Defense Information Systems Agency,B-420168.3,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,Glenn G. Wolcott,,,,
2021-10-07 10:48:38,open,https://www.gao.gov/docket/b-420194.1,Aviation Ground Equipment Corporation,FA4626-21-Q-0026,Department of the Air Force,B-420194.1,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,Christine Milne,,,,
2021-10-07 10:48:39,open,https://www.gao.gov/docket/b-419940.3,Shamrock Marine Towing & Salvage,70Z08421QBB109300,Department of Homeland Security : United States Coast Guard,B-419940.3,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,April Y. Shields,,,,
2021-10-07 10:48:41,open,https://www.gao.gov/docket/b-419674.5,"Hygeia Solutions Partners, LLC",15JPSS20Q00000059,Department of Justice : Justice Management Division,B-419674.5,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,Scott H. Riback,,,,
2021-10-07 10:48:43,open,https://www.gao.gov/docket/b-420193.1,Guidehouse LLP,36C10D21Q0038,Department of Veterans Affairs,B-420193.1,Case Currently Open,"Sep 24, 2021","Jan 3, 2022",Bid Protest,April Y. Shields,,,,
2021-10-07 10:48:47,open,https://www.gao.gov/docket/b-420187.1,"Cydecor, Inc.",N00189-21-R-Z032,Department of the Navy : Naval Supply Systems Command,B-420187.1,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Raymond Richards,,,,
2021-10-07 10:48:49,open,https://www.gao.gov/docket/b-418633.4,"Advanced Concepts and Technologies International, LLC",FA701420R0004,Department of the Air Force,B-418633.4,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Kenneth Kilgour,,,,
2021-10-07 10:48:50,open,https://www.gao.gov/docket/b-420210.1,Probity Inc.,2021-20110900001S,Independent Agencies and Govt Corporations : Central Intelligence Agency,B-420210.1,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Heather Weiner,,,,
2021-10-07 10:48:51,open,https://www.gao.gov/docket/b-420070.2,"MindPetal Software Solutions, Inc.",140P2121R0011,Department of the Interior : National Park Service,B-420070.2,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Christine Milne,,,,
2021-10-07 10:48:53,open,https://www.gao.gov/docket/b-420189.1,"Architectural Consulting Group of Chicago, Inc.",W912DQ21B1017,Department of the Army : Corps of Engineers,B-420189.1,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Christopher An,,,,
2021-10-07 10:48:54,open,https://www.gao.gov/docket/b-420136.2,"Oracle America, Inc.",SP4709-21-Q-1053,Department of Defense : Defense Logistics Agency,B-420136.2,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Samantha Lee,,,,
2021-10-07 10:48:56,open,https://www.gao.gov/docket/b-420140.3,AP3SI,HT001120R0003,Department of Defense : Defense Health Agency,B-420140.3,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Alexander O. Levine,,,,
2021-10-07 10:48:58,open,https://www.gao.gov/docket/b-420188.1,"JW Mills Management, LLC",,Department of the Navy : Naval Supply Systems Command,B-420188.1,Case Currently Open,"Sep 23, 2021","Jan 3, 2022",Bid Protest,Michael P. Grogan,,,,
2021-10-07 10:49:00,open,https://www.gao.gov/docket/b-419919.2,"Amaze Technologies, LLC",FA4890-21-R-0001,Department of the Air Force,B-419919.2,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest: Entitlement,Alexander O. Levine,,,,
2021-10-07 10:49:01,open,https://www.gao.gov/docket/b-420185.1,"KTS Solutions, Inc.",36C24621Q0704,Department of Veterans Affairs,B-420185.1,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest,Hannah G. Barnes,,,,
2021-10-07 10:49:03,open,https://www.gao.gov/docket/b-418538.5,"IAP World Services, Inc.",N69450-20-R-0010,Department of the Navy : Naval Facilities Engineering Command,B-418538.5,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest,Scott H. Riback,,,,
2021-10-07 10:49:05,open,https://www.gao.gov/docket/b-420140.2,"Gritter Francona, Inc.",HT001120R0003,Department of Defense : Defense Health Agency,B-420140.2,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest,Alexander O. Levine,,,,
2021-10-07 10:49:07,open,https://www.gao.gov/docket/b-420186.1,"Rigid Constructors, LLC",W912HY21B0020,Department of the Army : Corps of Engineers,B-420186.1,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest,Michael P. Price,,,,
2021-10-07 10:49:08,open,https://www.gao.gov/docket/b-420059.3,Mid America Government Supply,RFQ1505067,Department of the Navy : Naval Supply Systems Command,B-420059.3,Case Currently Open,"Sep 22, 2021","Jan 3, 2022",Bid Protest: Reconsideration,David A. Edelstein,,,,
2021-10-07 10:49:10,open,https://www.gao.gov/docket/b-420181.1,"Oracle America, Inc.",SP4701-21-Q-1000,Department of Defense : Defense Logistics Agency,B-420181.1,Case Currently Open,"Sep 21, 2021","Dec 30, 2021",Bid Protest,Samantha Lee,,,,
2021-10-07 10:49:11,open,https://www.gao.gov/docket/b-420182.1,Tower Strategy Group Inc,140D0421Q0535,Department of the Interior,B-420182.1,Case Currently Open,"Sep 21, 2021","Dec 30, 2021",Bid Protest,April Y. Shields,,,,
2021-10-07 10:49:12,open,https://www.gao.gov/docket/b-419989.3,"Bear Mountainside Realty, LLC",7NJ2243,Independent Agencies and Govt Corporations : Public Buildings Service,B-419989.3,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Samantha Lee,,,,
2021-10-07 10:49:15,open,https://www.gao.gov/docket/b-420115.2,"Salient CRGT, Inc.,",TOPR-JC-21-0001,Department of the Army,B-420115.2,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Raymond Richards,,,,
2021-10-07 10:49:16,open,https://www.gao.gov/docket/b-420173.1,"Celerity Government Solutions, LLC",C-85619-SB,Department of Defense : Defense Information Systems Agency,B-420173.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Heather Self,,,,
2021-10-07 10:49:17,open,https://www.gao.gov/docket/b-420174.1,"Zermount, Inc.",70US0921R70090055,Department of Homeland Security : United States Secret Service,B-420174.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Katherine I. Riback,,,,
2021-10-07 10:49:22,open,https://www.gao.gov/docket/b-420169.1,Science Applications International Corporation,HQ003421R0196,Department of Defense : Washington Headquarters Services,B-420169.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Kasia Dourney,,,,
2021-10-07 10:49:23,open,https://www.gao.gov/docket/b-420168.2,"Salient CRGT, Inc.,",HC102819R0009,Department of Defense : Defense Information Systems Agency,B-420168.2,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Glenn G. Wolcott,,,,
2021-10-07 10:49:25,open,https://www.gao.gov/docket/b-420167.1,"LB&B Associates, Inc.",88310321Q00023,Independent Agencies and Govt Corporations : National Archives and Records Administration,B-420167.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Emily R. O'Hara,,,,
2021-10-07 10:49:26,open,https://www.gao.gov/docket/b-419763.3,"Enterprise Resource Planned Systems International, LLC",C-85117-SB,Department of the Treasury : Bureau of the Fiscal Service,B-419763.3,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Michael P. Grogan,,,,
2021-10-07 10:49:29,open,https://www.gao.gov/docket/b-418684.5,"KTS Solutions, Inc.",36C24720R0012,Department of Veterans Affairs,B-418684.5,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Heather Weiner,,,,
2021-10-07 10:49:30,open,https://www.gao.gov/docket/b-420179.1,"DCR Services & Construction, Inc.",RFQ1489735,Department of the Interior : National Park Service,B-420179.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Evan D. Wesser,,,,
2021-10-07 10:49:32,open,https://www.gao.gov/docket/b-420176.1,"PrimCorp, LLC",FA4484-21-R-0003,Department of the Air Force,B-420176.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,David A. Edelstein,,,,
2021-10-07 10:49:34,open,https://www.gao.gov/docket/b-420168.1,Vectrus Systems Corporation,HC102819R0009,Department of Defense : Defense Information Systems Agency,B-420168.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Glenn G. Wolcott,,,,
2021-10-07 10:49:35,open,https://www.gao.gov/docket/b-420170.1,"Basic Concepts, Inc.",SPE4A7-21-Q-1235,Department of Defense : Defense Logistics Agency,B-420170.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Paul N. Wengert,,,,
2021-10-07 10:49:37,open,https://www.gao.gov/docket/b-420171.1,"Chenega Enterprise Systems & Solutions, LLC",RFQ1509663,Department of Agriculture : Natural Resources Conservation Service,B-420171.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Christine Milne,,,,
2021-10-07 10:49:39,open,https://www.gao.gov/docket/b-420175.1,"Ad Hoc, LLC",RFQ-CMS-2021-210887,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-420175.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Kenneth Kilgour,,,,
2021-10-07 10:49:40,open,https://www.gao.gov/docket/b-420177.1,AT&T Corporation,15F06720R0000174-TO1,Department of Justice : Federal Bureau of Investigation,B-420177.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Jonathan L. Kang,,,,
2021-10-07 10:49:42,open,https://www.gao.gov/docket/b-420178.1,AT&T Corporation,15F06720R0000174-TO2,Department of Justice : Federal Bureau of Investigation,B-420178.1,Case Currently Open,"Sep 20, 2021","Dec 29, 2021",Bid Protest,Jonathan L. Kang,,,,
2021-10-07 10:49:44,open,https://www.gao.gov/docket/b-420165.1,"The Ginn Group, Inc.",N6945021R0056,Department of the Navy : Naval Facilities Engineering Command,B-420165.1,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Sarah T. Zaffina,,,,
2021-10-07 10:49:45,open,https://www.gao.gov/docket/b-419699.4,"EMCOR Government Services, Inc.",47PD0321Q0002,Independent Agencies and Govt Corporations : Public Buildings Service,B-419699.4,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Paula A. Williams,,,,
2021-10-07 10:49:47,open,https://www.gao.gov/docket/b-419024.5,"A. Prentice Ray & Associates, LLC",GS00Q-13-DR-0002-8a,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-419024.5,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Charmaine Stevenson,,,,
2021-10-07 10:49:49,open,https://www.gao.gov/docket/b-420045.2,"W.W. Grainger, Inc.",47QSCC-20-Q-5015,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-420045.2,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,U R. Yoo,,,,
2021-10-07 10:49:50,open,https://www.gao.gov/docket/b-420133.3,"Insight Technology Solutions, Inc.",70CTD021R00000002,Department of Homeland Security : United States Immigration and Customs Enforcement,B-420133.3,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Christopher Alwood,,,,
2021-10-07 10:49:53,open,https://www.gao.gov/docket/b-420162.1,"Becton, Dickinson and Company",SPE2DE-21-R-0010,Department of Defense : Defense Logistics Agency,B-420162.1,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Paul N. Wengert,,,,
2021-10-07 10:49:54,open,https://www.gao.gov/docket/b-418684.4,"Excelsior Ambulance Service, Inc.",36C24720R0012,Department of Veterans Affairs,B-418684.4,Case Currently Open,"Sep 17, 2021","Dec 27, 2021",Bid Protest,Heather Weiner,,,,
2021-10-07 10:49:58,open,https://www.gao.gov/docket/b-420161.1,Vedetta 2 Mondialpol SPA,W912PF21R0002,Department of the Army,B-420161.1,Case Currently Open,"Sep 16, 2021","Dec 27, 2021",Bid Protest,Hannah G. Barnes,,,,
2021-10-07 10:50:00,open,https://www.gao.gov/docket/b-417748.9,"Trident Technologies, LLC",HQ0147-18-R-0009,Department of Defense : Missile Defense Agency,B-417748.9,Case Currently Open,"Sep 15, 2021","Dec 27, 2021",Bid Protest,Mary G. Curcio,,,,
2021-10-07 10:50:02,open,https://www.gao.gov/docket/b-420159.1,"Strategic Operational Solutions, Inc.",70SBUR21R00000025,Department of Homeland Security : United States Citizenship and Immigration Services,B-420159.1,Case Currently Open,"Sep 15, 2021","Dec 27, 2021",Bid Protest,Michael Willems,,,,
2021-10-07 10:50:03,open,https://www.gao.gov/docket/b-420160.1,"GiaCare, Inc.",W81K04-21-R-0002,Department of the Army,B-420160.1,Case Currently Open,"Sep 15, 2021","Dec 27, 2021",Bid Protest,Louis A. Chiarella,,,,
2021-10-07 10:50:05,open,https://www.gao.gov/docket/b-419810.4,"Amaze Technologies, LLC",FA8773-21-R-8002,Department of the Air Force,B-419810.4,Case Currently Open,"Sep 15, 2021","Dec 27, 2021",Bid Protest: Entitlement,Louis A. Chiarella,,,,
2021-10-07 10:50:07,open,https://www.gao.gov/docket/b-420156.1,SparkSoft Corporation,TORP-CMS-2022-200631,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-420156.1,Case Currently Open,"Sep 14, 2021","Dec 23, 2021",Bid Protest,Young H. Cho,,,,
2021-10-07 10:50:09,open,https://www.gao.gov/docket/b-420133.2,"Insight Technology Solutions, Inc.",70CTD021R00000002,Department of Homeland Security : United States Immigration and Customs Enforcement,B-420133.2,Case Currently Open,"Sep 13, 2021","Dec 22, 2021",Bid Protest,Christopher Alwood,,,,
