docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary,Decision Highlight
https://www.gao.gov/docket/b-419705.2,"Academy Leadership, LLC",70CMSD21R00000001,Department of Homeland Security : United States Immigration and Customs Enforcement,B-419705.2,Sustained,"Sep 30, 2021","Jun 22, 2021","Sep 30, 2021",Bid Protest,Young H. Cho,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420127.1,BruckEdwards Inc.,1605TA-21-Q-00005,Department of Labor,B-420127.1,Dismissed,"Sep 30, 2021","Sep 3, 2021","Dec 13, 2021",Bid Protest,Paul N. Wengert,,
https://www.gao.gov/docket/b-420114.2,"IT Concepts, Inc.",28321321Q00000240,Independent Agencies and Govt Corporations : Social Security Administration,B-420114.2,Withdrawn,"Sep 30, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Samantha Lee,,
https://www.gao.gov/docket/b-420184.1,"Basic Concepts, Inc.",SPE4A7-21-Q-1397,Department of Defense : Defense Logistics Agency,B-420184.1,Dismissed,"Sep 30, 2021","Sep 22, 2021","Jan 3, 2022",Bid Protest,Samantha Lee,,
https://www.gao.gov/docket/b-419730.5,"Odyssey Systems Consulting Group, Ltd.",47QFPA21R0009,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-419730.5,Granted,"Sep 30, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest: Entitlement,David A. Edelstein,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419657.3,Department of the Air Force,FA8240-19-R-3501,Department of the Air Force,B-419657.3,Denied,"Sep 30, 2021","Jun 29, 2021","Oct 7, 2021",Bid Protest: Reconsideration,Michael Willems,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-418742.7,"Amentum Services, Inc.",W52P1J-19-R-0081,Department of the Army : U.S. Army Materiel Command,B-418742.7,Denied,"Sep 30, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,U R. Yoo,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420157.1,"KOAM Engineering Systems, Inc.",N6600121R0041,Department of the Navy : Naval Information Warfare Systems Command,B-420157.1,Dismissed,"Sep 30, 2021","Sep 14, 2021","Dec 23, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-420071.1,"PWE, Inc.",W911S7-21-B-0001,Department of the Army,B-420071.1,Dismissed,"Sep 30, 2021","Aug 16, 2021","Nov 24, 2021",Bid Protest,Christopher An,,
https://www.gao.gov/docket/b-418742.6,"VS2, LLC",W52P1J-19-R-0081,Department of the Army : U.S. Army Materiel Command,B-418742.6,Denied,"Sep 30, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,U R. Yoo,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420183.1,"Basic Concepts, Inc.",SPE4A7-21-Q-1455,Department of Defense : Defense Logistics Agency,B-420183.1,Dismissed,"Sep 30, 2021","Sep 22, 2021","Jan 3, 2022",Bid Protest,Samantha Lee,,
https://www.gao.gov/docket/b-420117.1,Centuria Corporation,80KSC021Q0007,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-420117.1,Dismissed,"Sep 29, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Hannah G. Barnes,,
https://www.gao.gov/docket/b-420002.1,First American Business Solutions,W91RUS21R0078,Department of the Army : U.S. Army Materiel Command,B-420002.1,Denied,"Sep 29, 2021","Jul 21, 2021","Oct 29, 2021",Bid Protest,Emily R. O'Hara,B-420002,"https://www.gao.gov/products/b-420002
Highlights


First American Business Solutions (First ABS), a small business of New Port Richey, Florida, protests the award of a contract to Cornerstone Communications, Inc., of Fenton, Missouri, under solicitation No. W91RUS21R0078, issued by the Department of the Army, Army Materiel Command, for support to the telephone switching systems and associated equipment installed at Army installations in Alaska. The protester primarily contends that the agency was unreasonable in finding the awardee's proposal to be technically acceptable.

        We deny the protest."
https://www.gao.gov/docket/b-420125.1,"Pitney Bowes, Inc.",RFQ1503994,Department of the Army,B-420125.1,Dismissed,"Sep 29, 2021","Sep 2, 2021","Dec 13, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420164.1,"Hawk Contracting Group, LLC",36C77621R0149,Department of Veterans Affairs,B-420164.1,Dismissed,"Sep 29, 2021","Sep 17, 2021","Dec 27, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420049.4,Sciolex Corporation,70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.4,Dismissed,"Sep 28, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Louis A. Chiarella,,
https://www.gao.gov/docket/b-419924.1,"Bland & Associates, PC",APP210813,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-419924.1,Denied,"Sep 28, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Michael Willems,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420172.1,"Deloitte Consulting, LLP",W912DY-21-R-0010,Department of the Army : Corps of Engineers,B-420172.1,Dismissed,"Sep 28, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Edward Goldstein,,
https://www.gao.gov/docket/b-420166.1,Patrona Corporation,N66604-19-R-3502-0003,Department of the Navy : Naval Sea Systems Command,B-420166.1,Dismissed,"Sep 28, 2021","Sep 17, 2021","Dec 27, 2021",Bid Protest,David A. Edelstein,,
https://www.gao.gov/docket/b-420102.2,"Facility Services Management, Inc.",W912DY21FXXXX,Department of the Army : Corps of Engineers,B-420102.2,Dismissed,"Sep 28, 2021","Sep 2, 2021","Dec 13, 2021",Bid Protest,Katherine I. Riback,,
https://www.gao.gov/docket/b-420049.2,Sciolex Corporation,70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.2,Dismissed,"Sep 28, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Louis A. Chiarella,,
https://www.gao.gov/docket/b-420082.1,"O'Gara-Hess & Eisenhardt Armoring Company, LLC",70QXXX21R00000002,Department of Homeland Security,B-420082.1,Withdrawn,"Sep 28, 2021","Aug 16, 2021","Nov 24, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-419833.2,"Coast to Coast Computer Products, Inc.",FA8055-21-R-0001,Department of the Air Force,B-419833.2,Denied,"Sep 28, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Charmaine Stevenson,B-419833.2,"https://www.gao.gov/products/b-419833.2
Highlights


Coast to Coast Computer Products, Inc. (CTC), of Simi Valley, California, protests the terms of request for quotations (RFQ) No. 1480009, issued by the Department of the Air Force for Client Computing Solutions III (CCS-3) products. The protester contends that the solicitation improperly provides for the establishment of blanket purchase agreements (BPAs) on a lowest-price, technically acceptable (LPTA) basis.

        We deny the protest."
https://www.gao.gov/docket/b-420158.1,"Universal Strategy Group, Inc.",J2PAI01,Department of Defense : U.S. Special Operations Command,B-420158.1,Dismissed,"Sep 28, 2021","Sep 15, 2021","Dec 27, 2021",Bid Protest,U R. Yoo,,
https://www.gao.gov/docket/b-420102.1,"Facility Services Management, Inc.",W912DY21FXXXX,Department of the Army : Corps of Engineers,B-420102.1,Dismissed,"Sep 28, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Katherine I. Riback,,
https://www.gao.gov/docket/b-420146.1,"Crest Security Assurance, LLC",70RCSA21Q0000030,Department of Homeland Security,B-420146.1,Withdrawn,"Sep 28, 2021","Sep 9, 2021","Dec 20, 2021",Bid Protest,Paul N. Wengert,,
https://www.gao.gov/docket/b-420049.3,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.3,Dismissed,"Sep 27, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Louis A. Chiarella,,
https://www.gao.gov/docket/b-420118.1,"Immersion Consulting, LLC",36C26121Q0611,Department of Veterans Affairs,B-420118.1,Dismissed,"Sep 27, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420114.1,swiftINTEL JV,28321321Q00000240,Independent Agencies and Govt Corporations : Social Security Administration,B-420114.1,Withdrawn,"Sep 27, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Samantha Lee,,
https://www.gao.gov/docket/b-420049.5,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.5,Dismissed,"Sep 27, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Louis A. Chiarella,,
https://www.gao.gov/docket/b-420097.1,The Whiting-Turner Contracting Company,47PH0821F0033,Independent Agencies and Govt Corporations : Public Buildings Service,B-420097.1,Dismissed,"Sep 24, 2021","Aug 24, 2021","Dec 2, 2021",Bid Protest,Hannah G. Barnes,,
https://www.gao.gov/docket/b-420081.1,"Insignia Technology Services, LLC",T4NG-0578,Department of Veterans Affairs,B-420081.1,Withdrawn,"Sep 24, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Glenn G. Wolcott,,
https://www.gao.gov/docket/b-420101.1,"Wyle Laboratories, Inc.",80ARC019R0004,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-420101.1,Dismissed,"Sep 24, 2021","Aug 25, 2021","Dec 3, 2021",Bid Protest,David A. Edelstein,,
https://www.gao.gov/docket/b-420152.1,ABC Corporation,N/A,Independent Agencies and Govt Corporations : Central Intelligence Agency,B-420152.1,Dismissed,"Sep 23, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Jonathan L. Kang,,
https://www.gao.gov/docket/b-419930.1,Platinum Business Services LLC,70FA3021Q00000022,Department of Homeland Security : Federal Emergency Management Agency,B-419930.1,Denied,"Sep 23, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Jacob Talcott,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420180.1,"Definitive Business Solutions, Inc",103021EH32605,Department of State,B-420180.1,Withdrawn,"Sep 23, 2021","Sep 21, 2021","Dec 30, 2021",Bid Protest,Scott H. Riback,,
https://www.gao.gov/docket/b-418781.5,"People, Technology and Processes, LLC",W9124L20R0020,Department of the Army,B-418781.5,Dismissed,"Sep 23, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest: Reconsideration,David A. Edelstein,B-418781.5,"https://www.gao.gov/products/b-418781.5
Highlights


People, Technology and Processes, LLC (""PTP""), a service-disabled veteran-owned small business of Tampa, Florida, requests reconsideration of our decision in People, Technology and Processes, LLC, B-418781.4, July 2, 2021, 2021 CPD ¶ 252, regarding request for quotations (RFQ) No. W1924L20R0020, issued by the Department of the Army for joint fires observers (JFO) course instructors at Fort Sill, Oklahoma. Our office denied PTP's protest of the agency's proposed corrective action in response to a prior protest because we found that the agency's corrective action was reasonable and that PTP could not demonstrate competitive prejudice. PTP argues that our decision incorrectly denied its protest.


        We dismiss the request for reconsideration."
https://www.gao.gov/docket/b-420116.1,"Booz Allen Hamilton, Inc.",ID04200119,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-420116.1,Withdrawn,"Sep 23, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Sarah T. Zaffina,,
https://www.gao.gov/docket/b-419743.3,KPMG LLP,N0018921R0016,Department of the Navy : Naval Supply Systems Command,B-419743.3,Withdrawn,"Sep 23, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Raymond Richards,,
https://www.gao.gov/docket/b-419956.21,"Woodbourne Solutions, Inc.",75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.21,Withdrawn,"Sep 22, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Jonathan L. Kang,,
https://www.gao.gov/docket/b-420062.1,"Herren Associates, Inc.",N00164-20-R-3021,Department of the Navy : Naval Sea Systems Command,B-420062.1,Withdrawn,"Sep 22, 2021","Aug 11, 2021","Nov 19, 2021",Bid Protest,Hannah G. Barnes,,
https://www.gao.gov/docket/b-420093.2,"PGLS, LLC",19FS1A21Q0012,Department of State,B-420093.2,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,,
https://www.gao.gov/docket/b-420093.3,McKellar Corporation,19FS1A21Q0012,Department of State,B-420093.3,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,,
https://www.gao.gov/docket/b-420093.1,"International Center for Language Studies, Inc.",19FS1A21Q0012,Department of State,B-420093.1,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,,
https://www.gao.gov/docket/b-420092.1,Survice Engineering Company,W91151-21-R-0010,Department of the Army,B-420092.1,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Paul N. Wengert,,
https://www.gao.gov/docket/b-419912.1,"INNOVIM, LLC",1305M221QNWWX0025,Department of Commerce : National Oceanic and Atmospheric Administration,B-419912.1,Denied,"Sep 21, 2021","Jun 14, 2021","Sep 22, 2021",Bid Protest,Kasia Dourney,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419912.2,"INNOVIM, LLC",1305M221QNWWX0025,Department of Commerce : National Oceanic and Atmospheric Administration,B-419912.2,Denied,"Sep 21, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Kasia Dourney,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-419948.1,Starblast Corporation,N6264921R0038,Department of the Navy : Naval Supply Systems Command,B-419948.1,Denied,"Sep 21, 2021","Jun 28, 2021","Oct 6, 2021",Bid Protest,Kenneth Kilgour,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here.",
https://www.gao.gov/docket/b-420084.1,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.1,Dismissed,"Sep 21, 2021","Aug 18, 2021","Nov 26, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-420050.1,Ute Castellano Cobra USAFE,FA5575-21-R-0004,Department of the Air Force,B-420050.1,Dismissed,"Sep 21, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-419956.16,"Ellumen, Inc.",75N981-21-R-00001,Department of Health and Human Services : National Institutes of Health,B-419956.16,Withdrawn,"Sep 21, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Jonathan L. Kang,,
https://www.gao.gov/docket/b-420084.2,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.2,Dismissed,"Sep 21, 2021","Aug 26, 2021","Dec 6, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-420154.1,Zafer Taahut Insaat ve Ticaret AS,N6247019D5000-X010,Department of the Navy : Naval Facilities Engineering Command,B-420154.1,Withdrawn,"Sep 21, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420084.3,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.3,Dismissed,"Sep 21, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Kenneth Kilgour,,
https://www.gao.gov/docket/b-419834.2,"Innovative Management Concepts, Inc.",89503019QWA000032,Department of Energy,B-419834.2,Denied,"Sep 20, 2021","Jun 14, 2021","Sep 22, 2021",Bid Protest,Heather Self,"B-419834.2,B-419834.3","https://www.gao.gov/products/b-419834.2,b-419834.3
Highlights


Innovative Management Concepts, Inc. (IMC), a service-disabled veteran-owned small business (SDVOSB) of Sterling, Virginia, protests the issuance of a task order to Epsilon, Inc., an SDVOSB of Weaverville, North Carolina, under request for quotations (RFQ) No. 8950319QWA00032, issued by the Department of Energy's Western Area Power Authority (WAPA) for information technology (IT) services. The protester challenges numerous aspects of the agency's evaluation of quotations and its best-value tradeoff source selection decision.


        We deny the protest."
https://www.gao.gov/docket/b-419674.3,"ManTech Advanced Systems International, Inc.",15JPSS20Q00000059,Department of Justice : Justice Management Division,B-419674.3,Dismissed,"Sep 20, 2021","Sep 7, 2021","Dec 16, 2021",Bid Protest,Scott H. Riback,,
https://www.gao.gov/docket/b-420123.1,McIntyre Environmental LLC,12405B21-1045039,Department of Agriculture,B-420123.1,Dismissed,"Sep 20, 2021","Sep 1, 2021","Dec 10, 2021",Bid Protest,Michael P. Price,,
https://www.gao.gov/docket/b-419674.4,"NTT Data Services Federal Government, LLC",15JPSS20Q00000059,Department of Justice : Justice Management Division,B-419674.4,Dismissed,"Sep 20, 2021","Sep 7, 2021","Dec 16, 2021",Bid Protest,Scott H. Riback,,
https://www.gao.gov/docket/b-420148.1,"KTS Solutions, Inc.",36C24621Q1199,Department of Veterans Affairs,B-420148.1,Dismissed,"Sep 20, 2021","Sep 10, 2021","Dec 20, 2021",Bid Protest,Christine Milne,,
https://www.gao.gov/docket/b-420104.1,Veterans Therapeutic Support Services,W91151-21-Q-0169,Department of the Army,B-420104.1,Dismissed,"Sep 20, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Emily R. O'Hara,,
https://www.gao.gov/docket/b-419834.3,"Innovative Management Concepts, Inc.",89503019QWA000032,Department of Energy,B-419834.3,Denied,"Sep 20, 2021","Jul 1, 2021","Oct 12, 2021",Bid Protest,Heather Self,"B-419834.2,B-419834.3","https://www.gao.gov/products/b-419834.2,b-419834.3
Highlights


Innovative Management Concepts, Inc. (IMC), a service-disabled veteran-owned small business (SDVOSB) of Sterling, Virginia, protests the issuance of a task order to Epsilon, Inc., an SDVOSB of Weaverville, North Carolina, under request for quotations (RFQ) No. 8950319QWA00032, issued by the Department of Energy's Western Area Power Authority (WAPA) for information technology (IT) services. The protester challenges numerous aspects of the agency's evaluation of quotations and its best-value tradeoff source selection decision.


        We deny the protest."
https://www.gao.gov/docket/b-419252.5,"All-Rite Construction, Inc.",140P1220R0007,Department of the Interior : National Park Service,B-419252.5,Dismissed,"Sep 17, 2021","Jul 8, 2021","Oct 18, 2021",Bid Protest: Entitlement,Raymond Richards,,
https://www.gao.gov/docket/b-420043.1,"Royal Communications International, Inc.",CAP-21-R004,Department of the Air Force,B-420043.1,Dismissed,"Sep 17, 2021","Aug 4, 2021","Nov 12, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-420043.2,Barrett Communications USA Corporation,CAP-21-R004,Department of the Air Force,B-420043.2,Dismissed,"Sep 17, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-420109.1,"Sourcelinq, LLC",SPE8EG-21-R-0014,Department of Defense : Defense Logistics Agency,B-420109.1,Dismissed,"Sep 17, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Michael P. Grogan,,
https://www.gao.gov/docket/b-420155.1,LOGMET LLC,N00019-21-R-0068,Department of the Navy : Naval Air Systems Command,B-420155.1,Withdrawn,"Sep 17, 2021","Sep 14, 2021","Dec 23, 2021",Bid Protest,Paul N. Wengert,,
https://www.gao.gov/docket/b-420043.3,"Royal Communications International, Inc.",CAP-21-R004,Department of the Air Force,B-420043.3,Dismissed,"Sep 17, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Christopher Alwood,,
https://www.gao.gov/docket/b-420059.1,Mid America Government Supply,RFQ1505067,Department of the Navy : Naval Supply Systems Command,B-420059.1,Dismissed,"Sep 17, 2021","Aug 10, 2021","Nov 18, 2021",Bid Protest,Alexander O. Levine,,
https://www.gao.gov/docket/b-420080.1,Dodsco Inc.,FA520921U0060,Department of the Air Force,B-420080.1,Dismissed,"Sep 16, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Christopher An,,
https://www.gao.gov/docket/b-419264.4,"Mallory Safety & Supply, LLC",W911QY-19-R-0026,Department of the Army : U.S. Army Materiel Command,B-419264.4,Dismissed,"Sep 16, 2021","Aug 13, 2021","Nov 22, 2021",Bid Protest,Kasia Dourney,,
https://www.gao.gov/docket/b-419936.1,"AlterG, Inc.",FA441721QC079,Department of the Air Force,B-419936.1,Denied,"Sep 16, 2021","Jun 25, 2021","Oct 4, 2021",Bid Protest,Christine Milne,B-419936,"https://www.gao.gov/products/b-419936
Highlights


AlterG, Inc., a small business of Fremont, California, protests the award of a contract to Woodway USA, Inc., a small business of Waukesha, Wisconsin, under request for quotations (RFQ) No. FA441721QC079, issued by the Department of the Air Force for a brand name or equal Woodway Boost Anti-Gravity Treadmill and brand name or equal Woodway running shorts. AlterG contends that the agency unreasonably evaluated quotations and that the solicitation contains a latent ambiguity.

        We deny the protest."
https://www.gao.gov/docket/b-420087.1,Mettler Toledo LLC,N00173-21-Q-0397,"Department of the Navy : Naval Research Laboratory, Washington, DC",B-420087.1,Dismissed,"Sep 16, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Heather Weiner,,
