docket_page_link,Protestor,Solicitation Number,Agency,File number,Outcome,Decision Date,Filed Date,Due Date,Case Type,GAO Attorney,Decision Summary
https://www.gao.gov/docket/b-419924.1,"Bland & Associates, PC",APP210813,Department of Health and Human Services : Centers for Medicare and Medicaid Services,B-419924.1,Denied,"Sep 28, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Michael Willems,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420158.1,"Universal Strategy Group, Inc.",J2PAI01,Department of Defense : U.S. Special Operations Command,B-420158.1,Dismissed,"Sep 28, 2021","Sep 15, 2021","Dec 27, 2021",Bid Protest,U R. Yoo,
https://www.gao.gov/docket/b-420049.3,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.3,Dismissed,"Sep 27, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-420118.1,"Immersion Consulting, LLC",36C26121Q0611,Department of Veterans Affairs,B-420118.1,Dismissed,"Sep 27, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420114.1,swiftINTEL JV,28321321Q00000240,Independent Agencies and Govt Corporations : Social Security Administration,B-420114.1,Withdrawn,"Sep 27, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Samantha Lee,
https://www.gao.gov/docket/b-420049.5,"HeiTech-PAE, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.5,Dismissed,"Sep 27, 2021","Sep 20, 2021","Dec 29, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-420101.1,"Wyle Laboratories, Inc.",80ARC019R0004,Independent Agencies and Govt Corporations : National Aeronautics and Space Administration,B-420101.1,Dismissed,"Sep 24, 2021","Aug 25, 2021","Dec 3, 2021",Bid Protest,David A. Edelstein,
https://www.gao.gov/docket/b-420097.1,The Whiting-Turner Contracting Company,47PH0821F0033,Independent Agencies and Govt Corporations : Public Buildings Service,B-420097.1,Dismissed,"Sep 24, 2021","Aug 24, 2021","Dec 2, 2021",Bid Protest,Hannah G. Barnes,
https://www.gao.gov/docket/b-420081.1,"Insignia Technology Services, LLC",T4NG-0578,Department of Veterans Affairs,B-420081.1,Withdrawn,"Sep 24, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Glenn G. Wolcott,
https://www.gao.gov/docket/b-420152.1,ABC Corporation,N/A,Independent Agencies and Govt Corporations : Central Intelligence Agency,B-420152.1,Dismissed,"Sep 23, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-419930.1,Platinum Business Services LLC,70FA3021Q00000022,Department of Homeland Security : Federal Emergency Management Agency,B-419930.1,Denied,"Sep 23, 2021","Jun 21, 2021","Sep 29, 2021",Bid Protest,Jacob Talcott,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420180.1,"Definitive Business Solutions, Inc",103021EH32605,Department of State,B-420180.1,Withdrawn,"Sep 23, 2021","Sep 21, 2021","Dec 30, 2021",Bid Protest,Scott H. Riback,
https://www.gao.gov/docket/b-418781.5,"People, Technology and Processes, LLC",W9124L20R0020,Department of the Army,B-418781.5,Dismissed,"Sep 23, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest: Reconsideration,David A. Edelstein,B-418781.5
https://www.gao.gov/docket/b-420116.1,"Booz Allen Hamilton, Inc.",ID04200119,Independent Agencies and Govt Corporations : Federal Acquisition Service,B-420116.1,Withdrawn,"Sep 23, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Sarah T. Zaffina,
https://www.gao.gov/docket/b-419743.3,KPMG LLP,N0018921R0016,Department of the Navy : Naval Supply Systems Command,B-419743.3,Withdrawn,"Sep 23, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419956.21,"Woodbourne Solutions, Inc.",75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.21,Withdrawn,"Sep 22, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-420062.1,"Herren Associates, Inc.",N00164-20-R-3021,Department of the Navy : Naval Sea Systems Command,B-420062.1,Withdrawn,"Sep 22, 2021","Aug 11, 2021","Nov 19, 2021",Bid Protest,Hannah G. Barnes,
https://www.gao.gov/docket/b-420093.2,"PGLS, LLC",19FS1A21Q0012,Department of State,B-420093.2,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-420093.3,McKellar Corporation,19FS1A21Q0012,Department of State,B-420093.3,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-420093.1,"International Center for Language Studies, Inc.",19FS1A21Q0012,Department of State,B-420093.1,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-420092.1,Survice Engineering Company,W91151-21-R-0010,Department of the Army,B-420092.1,Dismissed,"Sep 22, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-420154.1,Zafer Taahut Insaat ve Ticaret AS,N6247019D5000-X010,Department of the Navy : Naval Facilities Engineering Command,B-420154.1,Withdrawn,"Sep 21, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420084.3,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.3,Dismissed,"Sep 21, 2021","Sep 13, 2021","Dec 22, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-420084.1,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.1,Dismissed,"Sep 21, 2021","Aug 18, 2021","Nov 26, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-419912.1,"INNOVIM, LLC",1305M221QNWWX0025,Department of Commerce : National Oceanic and Atmospheric Administration,B-419912.1,Denied,"Sep 21, 2021","Jun 14, 2021","Sep 22, 2021",Bid Protest,Kasia Dourney,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419912.2,"INNOVIM, LLC",1305M221QNWWX0025,Department of Commerce : National Oceanic and Atmospheric Administration,B-419912.2,Denied,"Sep 21, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Kasia Dourney,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419948.1,Starblast Corporation,N6264921R0038,Department of the Navy : Naval Supply Systems Command,B-419948.1,Denied,"Sep 21, 2021","Jun 28, 2021","Oct 6, 2021",Bid Protest,Kenneth Kilgour,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420050.1,Ute Castellano Cobra USAFE,FA5575-21-R-0004,Department of the Air Force,B-420050.1,Dismissed,"Sep 21, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-419956.16,"Ellumen, Inc.",75N981-21-R-00001,Department of Health and Human Services : National Institutes of Health,B-419956.16,Withdrawn,"Sep 21, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-420084.2,"International Business & Technical Consultants, Inc.",72062320R00010,Independent Agencies and Govt Corporations : United States Agency for International Development,B-420084.2,Dismissed,"Sep 21, 2021","Aug 26, 2021","Dec 6, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-420104.1,Veterans Therapeutic Support Services,W91151-21-Q-0169,Department of the Army,B-420104.1,Dismissed,"Sep 20, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Emily R. O'Hara,
https://www.gao.gov/docket/b-419834.3,"Innovative Management Concepts, Inc.",89503019QWA000032,Department of Energy,B-419834.3,Denied,"Sep 20, 2021","Jul 1, 2021","Oct 12, 2021",Bid Protest,Heather Self,"B-419834.2,B-419834.3"
https://www.gao.gov/docket/b-419834.2,"Innovative Management Concepts, Inc.",89503019QWA000032,Department of Energy,B-419834.2,Denied,"Sep 20, 2021","Jun 14, 2021","Sep 22, 2021",Bid Protest,Heather Self,"B-419834.2,B-419834.3"
https://www.gao.gov/docket/b-419674.3,"ManTech Advanced Systems International, Inc.",15JPSS20Q00000059,Department of Justice : Justice Management Division,B-419674.3,Dismissed,"Sep 20, 2021","Sep 7, 2021","Dec 16, 2021",Bid Protest,Scott H. Riback,
https://www.gao.gov/docket/b-420123.1,McIntyre Environmental LLC,12405B21-1045039,Department of Agriculture,B-420123.1,Dismissed,"Sep 20, 2021","Sep 1, 2021","Dec 10, 2021",Bid Protest,Michael P. Price,
https://www.gao.gov/docket/b-419674.4,"NTT Data Services Federal Government, LLC",15JPSS20Q00000059,Department of Justice : Justice Management Division,B-419674.4,Dismissed,"Sep 20, 2021","Sep 7, 2021","Dec 16, 2021",Bid Protest,Scott H. Riback,
https://www.gao.gov/docket/b-420148.1,"KTS Solutions, Inc.",36C24621Q1199,Department of Veterans Affairs,B-420148.1,Dismissed,"Sep 20, 2021","Sep 10, 2021","Dec 20, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420155.1,LOGMET LLC,N00019-21-R-0068,Department of the Navy : Naval Air Systems Command,B-420155.1,Withdrawn,"Sep 17, 2021","Sep 14, 2021","Dec 23, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-420043.3,"Royal Communications International, Inc.",CAP-21-R004,Department of the Air Force,B-420043.3,Dismissed,"Sep 17, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Christopher Alwood,
https://www.gao.gov/docket/b-420059.1,Mid America Government Supply,RFQ1505067,Department of the Navy : Naval Supply Systems Command,B-420059.1,Dismissed,"Sep 17, 2021","Aug 10, 2021","Nov 18, 2021",Bid Protest,Alexander O. Levine,
https://www.gao.gov/docket/b-419252.5,"All-Rite Construction, Inc.",140P1220R0007,Department of the Interior : National Park Service,B-419252.5,Dismissed,"Sep 17, 2021","Jul 8, 2021","Oct 18, 2021",Bid Protest: Entitlement,Raymond Richards,
https://www.gao.gov/docket/b-420043.1,"Royal Communications International, Inc.",CAP-21-R004,Department of the Air Force,B-420043.1,Dismissed,"Sep 17, 2021","Aug 4, 2021","Nov 12, 2021",Bid Protest,Christopher Alwood,
https://www.gao.gov/docket/b-420043.2,Barrett Communications USA Corporation,CAP-21-R004,Department of the Air Force,B-420043.2,Dismissed,"Sep 17, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Christopher Alwood,
https://www.gao.gov/docket/b-420109.1,"Sourcelinq, LLC",SPE8EG-21-R-0014,Department of Defense : Defense Logistics Agency,B-420109.1,Dismissed,"Sep 17, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Michael P. Grogan,
https://www.gao.gov/docket/b-419743.2,"Deloitte Consulting, LLP",N0018921R0016,Department of the Navy : Naval Supply Systems Command,B-419743.2,Dismissed,"Sep 17, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-420080.1,Dodsco Inc.,FA520921U0060,Department of the Air Force,B-420080.1,Dismissed,"Sep 16, 2021","Aug 17, 2021","Nov 26, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419264.4,"Mallory Safety & Supply, LLC",W911QY-19-R-0026,Department of the Army : U.S. Army Materiel Command,B-419264.4,Dismissed,"Sep 16, 2021","Aug 13, 2021","Nov 22, 2021",Bid Protest,Kasia Dourney,
https://www.gao.gov/docket/b-419936.1,"AlterG, Inc.",FA441721QC079,Department of the Air Force,B-419936.1,Denied,"Sep 16, 2021","Jun 25, 2021","Oct 4, 2021",Bid Protest,Christine Milne,B-419936
https://www.gao.gov/docket/b-420087.1,Mettler Toledo LLC,N00173-21-Q-0397,"Department of the Navy : Naval Research Laboratory, Washington, DC",B-420087.1,Dismissed,"Sep 16, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Heather Weiner,
https://www.gao.gov/docket/b-420085.1,Resion,N00104-21-Q-DC95,Department of the Navy : Naval Supply Systems Command,B-420085.1,Dismissed,"Sep 16, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Katherine I. Riback,
https://www.gao.gov/docket/b-420142.1,Bahrain Ship Repairing & Engineering Company,N4033921RF013,Department of the Navy : Naval Supply Systems Command,B-420142.1,Withdrawn,"Sep 15, 2021","Sep 8, 2021","Dec 17, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-419893.1,"KPaul Properties, LLC",70RTAC21R00000003,Department of Homeland Security,B-419893.1,Denied,"Sep 15, 2021","Jun 8, 2021","Sep 16, 2021",Bid Protest,Mary G. Curcio,"B-419893,B-419893.6"
https://www.gao.gov/docket/b-420064.1,"IgniteAction, LLC",AHRQ-21-10008,Department of Health and Human Services,B-420064.1,Withdrawn,"Sep 15, 2021","Aug 12, 2021","Nov 22, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-420124.1,"Wildflower International, Ltd.",70Z07921QPT106700,Department of Homeland Security : United States Coast Guard,B-420124.1,Dismissed,"Sep 15, 2021","Sep 1, 2021","Dec 10, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-419893.3,"KPaul Properties, LLC",70RTAC21R00000003,Department of Homeland Security,B-419893.3,Granted,"Sep 15, 2021","Jul 14, 2021","Oct 22, 2021",Bid Protest: Reconsideration,John Sorrenti,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-419893.6,"KPaul Properties, LLC",70RTAC21R00000003,Department of Homeland Security,B-419893.6,Denied,"Sep 15, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,"B-419893,B-419893.6"
https://www.gao.gov/docket/b-420049.1,"EnPro Vera-Chenega Applied Solutions, LLC",70SBUR21R00000009,Department of Homeland Security : United States Citizenship and Immigration Services,B-420049.1,Withdrawn,"Sep 15, 2021","Aug 9, 2021","Nov 17, 2021",Bid Protest,Louis A. Chiarella,
https://www.gao.gov/docket/b-419907.1,"Innotion Enterprises, Inc.",N/A,Department of Housing and Urban Development,B-419907.1,Denied,"Sep 14, 2021","Jun 11, 2021","Sep 20, 2021",Bid Protest,Jacob Talcott,B-419907
https://www.gao.gov/docket/b-419891.2,"Marquis Solutions, LLC",36C24220Q0977,Department of Veterans Affairs,B-419891.2,Sustained,"Sep 14, 2021","Jul 16, 2021","Oct 25, 2021",Bid Protest,Scott H. Riback,"B-419891,B-419891.2"
https://www.gao.gov/docket/b-419891.1,"Marquis Solutions, LLC",36C24220Q0977,Department of Veterans Affairs,B-419891.1,Sustained,"Sep 14, 2021","Jun 7, 2021","Sep 15, 2021",Bid Protest,Scott H. Riback,"B-419891,B-419891.2"
https://www.gao.gov/docket/b-420141.1,"A.E.S. UXO, LLC",0011672284-0001,Department of the Army,B-420141.1,Withdrawn,"Sep 14, 2021","Sep 8, 2021","Dec 17, 2021",Bid Protest,David A. Edelstein,
https://www.gao.gov/docket/b-420066.6,"Value Payment Systems, LLC",2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.6,Dismissed,"Sep 13, 2021","Sep 7, 2021","Dec 16, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-419980.2,"Carl Amber Brian Isaiah & Associates, Inc.",M67004-21-R-3002,Department of Defense : United States Marine Corps,B-419980.2,Dismissed,"Sep 13, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Hannah G. Barnes,
https://www.gao.gov/docket/b-420100.1,General Electrodynamics Corporation,1078100,Department of the Army,B-420100.1,Dismissed,"Sep 13, 2021","Aug 25, 2021","Dec 3, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-420069.1,"Chief Safety Solutions, LLC",36C24721R0064,Department of Veterans Affairs,B-420069.1,Dismissed,"Sep 13, 2021","Aug 13, 2021","Nov 22, 2021",Bid Protest,Christopher An,
https://www.gao.gov/docket/b-420066.4,"Value Payment Systems, LLC",2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.4,Dismissed,"Sep 13, 2021","Aug 31, 2021","Dec 9, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-419890.2,"MetroStar Systems, Inc.",632000295,Department of Defense : Defense Information Systems Agency,B-419890.2,Sustained,"Sep 13, 2021","Jul 16, 2021","Oct 25, 2021",Bid Protest,Samantha Lee,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420066.5,Link2Gov Corporation,2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.5,Dismissed,"Sep 13, 2021","Sep 1, 2021","Dec 10, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-420066.3,"ACI Payments, Inc.",2032H5-19-R-00005,Department of the Treasury : Internal Revenue Service,B-420066.3,Dismissed,"Sep 13, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Michael Willems,
https://www.gao.gov/docket/b-420090.1,COLSA Corporation,N00421-20-R-0127,Department of the Navy : Naval Air Systems Command,B-420090.1,Dismissed,"Sep 13, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Kasia Dourney,
https://www.gao.gov/docket/b-419805.2,"JCS Solutions, LLC",NIH-NICHD-ASB-IRMB-2021-0,Department of Health and Human Services : National Institutes of Health,B-419805.2,Dismissed,"Sep 13, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-419890.1,"MetroStar Systems, Inc.",632000295,Department of Defense : Defense Information Systems Agency,B-419890.1,Sustained,"Sep 13, 2021","Jun 7, 2021","Sep 15, 2021",Bid Protest,Samantha Lee,"This protest is covered by a protective order, which means that some
            information in the decision may require redaction before public release.
            A final redacted version of the decision will be posted when this process
            is complete. Learn more about our protective order and redaction process here."
https://www.gao.gov/docket/b-420090.2,"Sabre Systems, Inc.",N00421-20-R-0127,Department of the Navy : Naval Air Systems Command,B-420090.2,Dismissed,"Sep 13, 2021","Aug 23, 2021","Dec 1, 2021",Bid Protest,Kasia Dourney,
https://www.gao.gov/docket/b-420115.1,"Salient CRGT, Inc.,",TOPR-JC-21-0001,Department of the Army,B-420115.1,Dismissed,"Sep 13, 2021","Aug 30, 2021","Dec 8, 2021",Bid Protest,Raymond Richards,
https://www.gao.gov/docket/b-419956.11,"Mission Driven Ventures, LLC",75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.11,Withdrawn,"Sep 10, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,Jonathan L. Kang,
https://www.gao.gov/docket/b-419893.11,"Integration Technologies Group, Inc.",70RTAC21R00000003,Department of Homeland Security,B-419893.11,Dismissed,"Sep 10, 2021","Aug 6, 2021","Nov 15, 2021",Bid Protest,Mary G. Curcio,
https://www.gao.gov/docket/b-420029.1,Efficient Energy of Tennessee,W9123821R0045,Department of the Army : Corps of Engineers,B-420029.1,Dismissed,"Sep 10, 2021","Jul 29, 2021","Nov 8, 2021",Bid Protest,Christine Milne,
https://www.gao.gov/docket/b-419939.2,Hardwick Tactical Corporation,SPE1C1-20-R-0053,Department of Defense : Defense Logistics Agency,B-419939.2,Dismissed,"Sep 10, 2021","Aug 26, 2021","Dec 6, 2021",Bid Protest: Entitlement,Mary G. Curcio,
https://www.gao.gov/docket/b-420099.1,"MGM Computer Systems, Inc.",36C24421Q0960,Department of Veterans Affairs,B-420099.1,Dismissed,"Sep 9, 2021","Aug 25, 2021","Dec 3, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-419919.1,"Amaze Technologies, LLC",FA4890-21-R-0001,Department of the Air Force,B-419919.1,Dismissed,"Sep 9, 2021","Jun 17, 2021","Sep 27, 2021",Bid Protest,Alexander O. Levine,
https://www.gao.gov/docket/b-419905.2,Novex Enterprises,SPE7L321T260N,Department of Defense : Defense Logistics Agency,B-419905.2,Dismissed,"Sep 9, 2021","Jul 15, 2021","Oct 25, 2021",Bid Protest: Reconsideration,Alexander O. Levine,
https://www.gao.gov/docket/b-420103.1,"Government and Military Certification Systems, Inc.",W9098S21Q0109,Department of the Army : U.S. Army Materiel Command,B-420103.1,Withdrawn,"Sep 9, 2021","Aug 27, 2021","Dec 6, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-420015.2,"Gonzales-McCaulley Investment Group, Inc.",N0018921RR002,Department of the Navy : Naval Supply Systems Command,B-420015.2,Dismissed,"Sep 9, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest: Entitlement,Hannah G. Barnes,
https://www.gao.gov/docket/b-420007.1,"Certified Stainless Services, Inc- dba West-Mark",W56HZV-21-R-0033,Department of the Army : U.S. Army Materiel Command,B-420007.1,Dismissed,"Sep 8, 2021","Jul 22, 2021","Nov 1, 2021",Bid Protest,Katherine I. Riback,
https://www.gao.gov/docket/b-418799.3,"Primary Care Solutions, Inc.",36C25718R0842,Department of Veterans Affairs,B-418799.3,Denied,"Sep 8, 2021","Jun 1, 2021","Sep 9, 2021",Bid Protest,Charmaine Stevenson,"B-418799.3,B-418799.4"
https://www.gao.gov/docket/b-420088.1,"Directional Command, LLC",36C25721Q0765,Department of Veterans Affairs,B-420088.1,Dismissed,"Sep 8, 2021","Aug 20, 2021","Nov 29, 2021",Bid Protest,Emily R. O'Hara,
https://www.gao.gov/docket/b-420039.1,Logistics Management Institute,W911S019R0002,Department of the Army,B-420039.1,Withdrawn,"Sep 8, 2021","Aug 3, 2021","Nov 12, 2021",Bid Protest,Heather Self,
https://www.gao.gov/docket/b-420019.1,"Modutech Marine, Inc",N0002421R2250,Department of the Navy : Naval Sea Systems Command,B-420019.1,Dismissed,"Sep 8, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Kenneth Kilgour,
https://www.gao.gov/docket/b-418799.4,"Primary Care Solutions, Inc.",36C25718R0842,Department of Veterans Affairs,B-418799.4,Denied,"Sep 8, 2021","Jul 12, 2021","Oct 20, 2021",Bid Protest,Charmaine Stevenson,"B-418799.3,B-418799.4"
https://www.gao.gov/docket/b-419785.3,"BAE Systems Technology Solutions & Services, Inc.",W50NH9-20-R-0001,Department of the Army,B-419785.3,Withdrawn,"Sep 7, 2021","Jul 26, 2021","Nov 3, 2021",Bid Protest,Heather Self,
https://www.gao.gov/docket/b-420001.1,"Seventh Dimension, LLC",W900KK-21-R-0056,Department of the Army : U.S. Army Materiel Command,B-420001.1,Withdrawn,"Sep 7, 2021","Jul 20, 2021","Oct 28, 2021",Bid Protest,Paul N. Wengert,
https://www.gao.gov/docket/b-420031.1,MIDLAND AIRPORT SERVICES,N68836-21-Q-0168,Department of the Navy : Naval Supply Systems Command,B-420031.1,Dismissed,"Sep 7, 2021","Jul 30, 2021","Nov 8, 2021",Bid Protest,Samantha Lee,
https://www.gao.gov/docket/b-420077.1,"Wallowa Strategies, LLC",280-21-0560,Department of Health and Human Services : Substance Abuse and Mental Health Services Administration,B-420077.1,Dismissed,"Sep 7, 2021","Aug 16, 2021","Nov 24, 2021",Bid Protest,April Y. Shields,
https://www.gao.gov/docket/b-419956.15,Teracore Inc.,75N98121R00001,Department of Health and Human Services : National Institutes of Health,B-419956.15,Dismissed,"Sep 7, 2021","Aug 2, 2021","Nov 10, 2021",Bid Protest,Jonathan L. Kang,
